,Pressure (kbar),Temperature (degC),Depth (km),Distance from trench (km),log fO2
0,20.199999999999946,427.3684220208548,74.81481481481461,116.23751972419501,-23.918545261539204
1,20.099999999999948,435.44366033960546,74.44444444444424,116.23751972419501,-23.561944329182662
2,19.99999999999995,443.09801961624964,74.07407407407389,116.23751972419501,-23.2321529594838
3,19.89999999999995,450.5641710433856,73.70370370370351,116.23751972419501,-22.917565220567916
4,19.799999999999947,458.03032247052164,73.33333333333313,116.23751972419501,-22.60940205196303
5,19.69999999999995,464.40766603048263,72.96296296296278,116.23751972419501,-22.353294591805323
6,19.59999999999995,470.7630157159595,72.59259259259241,116.23751972419501,-22.102489753989058
7,19.49999999999995,476.8334132911016,72.22222222222203,116.23751972419501,-21.867556794268136
8,19.39999999999995,482.12032611743143,71.85185185185166,116.23751972419501,-21.667902386012383
9,19.29999999999995,487.40723894376134,71.4814814814813,116.23751972419501,-21.47102372006185
10,19.199999999999953,492.1445346281645,71.11111111111093,116.23751972419501,-21.298417148559018
11,19.09999999999995,496.44274959170207,70.74074074074056,116.23751972419501,-21.144972247919352
12,18.99999999999995,500.74096455523977,70.37037037037018,116.23751972419501,-20.993231822969975
13,18.899999999999952,504.378285421626,69.99999999999982,116.23751972419501,-20.868308884793155
14,18.799999999999955,507.8919632328002,69.62962962962946,116.23751972419501,-20.749216065271863
15,18.699999999999953,511.3061996649283,69.25925925925908,116.23751972419501,-20.63491257107922
16,18.59999999999995,514.0642438967268,68.8888888888887,116.23751972419501,-20.545986946958685
17,18.499999999999954,516.8222881285251,68.51851851851835,116.23751972419501,-20.457682258049047
18,18.399999999999956,519.3166620199418,68.14814814814798,116.23751972419501,-20.379675866856097
19,18.299999999999955,521.4481132375261,67.7777777777776,116.23751972419501,-20.315421358224107
20,18.199999999999953,523.57956445511,67.40740740740723,116.23751972419501,-20.251510643413194
21,18.099999999999955,525.309525260325,67.03703703703687,116.23751972419501,-20.202484329549268
22,17.999999999999957,526.8733384001927,66.6666666666665,116.23751972419501,-20.159669555798096
23,17.899999999999956,528.4371515400603,66.29629629629613,116.23751972419501,-20.117021836385668
24,17.799999999999955,529.4929321791507,65.92592592592575,116.23751972419501,-20.092775181648882
25,17.699999999999957,530.5469284592319,65.55555555555539,116.23751972419501,-20.068656179674296
26,17.59999999999996,531.5006282402361,65.18518518518503,116.23751972419501,-20.04818761852162
27,17.499999999999957,532.2002199299394,64.81481481481465,116.23751972419501,-20.036842890929833
28,17.399999999999956,532.8998116196427,64.44444444444427,116.23751972419501,-20.02551785610897
29,17.299999999999958,533.4240596444771,64.07407407407392,116.23751972419501,-20.020462344305034
30,17.19999999999996,533.8172136115857,63.70370370370355,116.23751972419501,-20.020083984327634
31,17.09999999999996,534.2103675786941,63.33333333333318,116.23751972419501,-20.01970599284424
32,16.999999999999957,534.2594334803505,62.9629629629628,116.23751972419501,-20.03158240154839
33,16.89999999999996,534.2518793241892,62.59259259259244,116.23751972419501,-20.045475491895264
34,16.79999999999996,534.1978299103912,62.22222222222208,116.23751972419501,-20.061027113345165
35,16.69999999999996,533.8759061961733,61.8518518518517,116.23751972419501,-20.08614418065046
36,16.59999999999996,533.5539824819555,61.481481481481325,116.23751972419501,-20.111281294415853
37,16.49999999999996,533.1376754976304,61.111111111110965,116.23751972419501,-20.139818141838788
38,16.399999999999963,532.5984790621712,60.7407407407406,116.23751972419501,-20.172792698672623
39,16.29999999999996,532.059282626712,60.370370370370225,116.23751972419501,-20.205811417350812
40,16.19999999999996,531.3985052437582,59.99999999999985,116.23751972419501,-20.243252831302343
41,16.099999999999962,530.6912864928005,59.629629629629484,116.23751972419501,-20.28243216222437
42,15.999999999999963,529.9817617336605,59.25925925925912,116.23751972419501,-20.321763923301255
43,15.899999999999963,529.0462253408967,58.88888888888875,116.23751972419501,-20.369362826038504
44,15.799999999999963,528.110688948133,58.51851851851838,116.23751972419501,-20.417072879881463
45,15.699999999999964,527.0997426148078,58.14814814814801,116.23751972419501,-20.467646068514433
46,15.599999999999964,525.912251859995,57.777777777777644,116.23751972419501,-20.524810415993127
47,15.499999999999964,524.7247611051822,57.40740740740727,116.23751972419501,-20.582144920838473
48,15.399999999999965,523.4093776686201,57.0370370370369,116.23751972419501,-20.644366631141132
49,15.299999999999965,522.0035655041977,56.666666666666536,116.23751972419501,-20.71014244258445
50,15.199999999999966,520.5977533397752,56.29629629629616,116.23751972419501,-20.776151246021666
51,15.099999999999966,519.0419534045203,55.925925925925796,116.23751972419501,-20.84799424689193
52,14.999999999999966,517.4647266448609,55.55555555555543,116.23751972419501,-20.92092368801395
53,14.899999999999967,515.8630188915657,55.185185185185055,116.23751972419501,-20.995067107072362
54,14.799999999999967,514.1366996006298,54.81481481481469,116.23751972419501,-21.07422961343679
55,14.699999999999967,512.4103803096936,54.44444444444432,116.23751972419501,-21.15374004916548
56,14.599999999999968,510.6178597672563,54.07407407407395,116.23751972419501,-21.23613202240214
57,14.499999999999968,508.7446550725013,53.70370370370358,116.23751972419501,-21.322003008699205
58,14.399999999999968,506.87145037774644,53.333333333333215,116.23751972419501,-21.40828642964047
59,14.299999999999969,504.9025223912057,52.96296296296284,116.23751972419501,-21.498704439007536
60,14.199999999999969,502.8999444138644,52.592592592592474,116.23751972419501,-21.590896122285137
61,14.09999999999997,500.89430188147975,52.22222222222211,116.23751972419501,-21.683685264871613
62,13.99999999999997,498.77564227371107,51.851851851851734,116.23751972419501,-21.781423745964023
63,13.89999999999997,496.65698266594245,51.48148148148137,116.23751972419501,-21.879700217946812
